country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020,energy_use_2014_n,energy_import_2014_n,energy_alternative_2014_n,energy_renewable_2020_n,energy_s
"Congo, Dem. Rep.",378.0,1.96,2.36,96.2,1.5909183,8.451721,4.7580643,100.0,28.700175940990448
"Congo, Rep.",531.0,-497.0,1.43,71.9,2.362181,51.46552,2.8830645,74.74013,32.862722992897034
Colombia,729.0,-274.0,9.2,31.3,3.3602855,32.24138,18.548388,32.536385,21.671609103679657
Costa Rica,1010.0,49.8,14.2,36.4,4.7767878,4.3275757,28.629034,37.83784,18.892809629440308
Cuba,1030.0,49.8,0.0854,23.9,4.8776064,4.3275757,0.17217742,24.844076,8.555358912795782
Cyprus,1680.0,94.0,5.23,15.0,8.154212,0.51724243,10.544355,15.592516,8.702081441879272
Czech Republic,3920.0,29.0,20.8,17.0,19.445902,6.1206894,41.935486,17.671518,21.2933988571167
Germany,3780.0,60.9,13.0,18.6,18.740171,3.3706894,26.209679,19.33472,16.913815021514893
Denmark,2870.0,0.944,9.89,39.7,14.152922,8.539314,19.939518,41.268192,20.97498655319214
Dominican Republic,743.0,86.7,2.34,16.7,3.4308586,1.1465607,4.717742,17.359669,6.663707494735718
Algeria,1330.0,-177.0,0.0301,0.15,6.389886,23.87931,0.060685486,0.15592517,7.6214517913758755
Ecuador,889.0,-115.0,6.21,20.1,4.166835,18.534485,12.520162,20.893972,14.028863430023193
Egypt,783.0,-7.39,1.5,6.51,3.6324959,9.257759,3.0241935,6.767152,5.670400083065033
Eritrea,245.0,22.3,0.0211,80.9,0.9204743,6.6982727,0.042540323,84.095634,22.939230444841087
Spain,2460.0,69.4,21.6,19.4,12.086141,2.6379318,43.54839,20.16632,19.60969567298889
Estonia,4590.0,3.4,0.618,40.0,22.823326,8.327583,1.2459677,41.580044,18.49423024058342
Ethiopia,485.0,5.93,1.18,89.5,2.1302981,8.109474,2.3790321,93.03535,26.413537859916687
Finland,6210.0,46.2,23.2,47.5,30.989637,4.6379395,46.774197,49.3763,32.94451856613159
France,3660.0,43.5,49.6,16.9,18.135258,4.8706894,100.0,17.567568,35.14337873458862
Gabon,2580.0,-213.0,1.21,90.1,12.691052,26.982758,2.4395163,93.65905,33.943094074726105
UK,2780.0,39.7,11.6,13.5,13.699238,5.1982803,23.387098,14.033264,14.079470157623291
Georgia,1180.0,68.8,15.7,23.4,5.633746,2.6896515,31.653227,24.324326,16.0752375125885
Ghana,320.0,-8.19,5.87,40.3,1.2985442,9.326721,11.834678,41.89189,16.08795863389969
Gibraltar,6040.0,100.0,0.0,0.0,30.132677,0.0,0.0,0.0,7.533169269561768
Greece,2120.0,62.0,5.42,20.1,10.372224,3.2758636,10.92742,20.893972,11.367369890213013
Guatemala,864.0,32.8,2.57,65.5,4.0408115,5.7930984,5.181452,68.08732,20.775670051574707
"Hong Kong, China",1970.0,98.7,0.0705,0.27,9.616083,0.112075806,0.14213711,0.2806653,2.5377403423190117
Honduras,587.0,53.0,3.33,50.1,2.644473,4.0517273,6.71371,52.079002,16.372228145599365
Croatia,1900.0,45.9,11.9,32.4,9.263218,4.6637955,23.991936,33.679836,17.899696350097656
Haiti,399.0,22.0,0.074,76.3,1.6967778,6.7241364,0.14919356,79.313934,21.971010513603687
Hungary,2310.0,55.6,19.0,14.8,11.330001,3.8275833,38.306454,15.384616,17.21216344833374
Indonesia,880.0,-103.0,0.839,22.0,4.121466,17.5,1.6915324,22.869024,11.545505702495575
India,631.0,34.3,2.67,35.8,2.866274,5.663788,5.3830647,37.214138,12.781816184520721
Ireland,2740.0,84.3,4.22,13.7,13.497601,1.3534393,8.508064,14.241165,9.400067329406738
Iran,2960.0,-33.4,0.909,1.03,14.606606,11.5,1.8326614,1.0706861,7.2524882555007935
Iraq,1350.0,-229.0,0.331,1.08,6.4907045,28.362068,0.6673387,1.1226612,9.160693168640137
Iceland,17900.0,11.0,35.4,82.8,89.91814,7.6724167,71.37097,86.07069,63.758052825927734
Israel,2760.0,67.0,5.19,5.61,13.598419,2.8448257,10.46371,5.831601,8.184638977050781
Italy,2410.0,75.0,7.06,18.7,11.834094,2.1551743,14.233871,19.438671,11.915452718734741
Jamaica,1010.0,82.0,0.57,11.4,4.7767878,1.5517273,1.1491935,11.850312,4.832005202770233
Jordan,945.0,96.8,1.92,11.0,4.449127,0.27585602,3.8709679,11.434512,5.007615804672241
Japan,3470.0,94.0,2.22,8.45,17.17748,0.51724243,4.4758067,8.783784,7.73857843875885
Kazakhstan,4430.0,-117.0,0.609,1.78,22.016777,18.706894,1.2278227,1.8503119,10.950451374053955
Kenya,516.0,17.2,2.24,72.5,2.286567,7.1379395,4.516129,75.36383,22.326116502285004
Kyrgyz Republic,650.0,49.5,22.7,30.0,2.9620516,4.353447,45.76613,31.185032,21.06666475534439
Cambodia,419.0,33.1,3.32,51.4,1.7975966,5.7672424,6.6935487,53.430355,16.92218568921089
South Korea,5290.0,81.7,15.6,3.63,26.351978,1.577591,31.451614,3.7733889,15.78864312171936
Kuwait,9010.0,-391.0,0.0,0.1,45.104244,42.327587,0.0,0.103950106,21.883945366367698
Lebanon,1190.0,97.9,0.523,6.71,5.6841555,0.1810379,1.0544355,6.9750524,3.4736703038215637
Libya,2930.0,-103.0,0.0,3.12,14.455378,17.5,0.0,3.2432435,8.799655258655548
Sri Lanka,504.0,50.3,3.43,49.3,2.226076,4.284477,6.915323,51.247402,16.168319523334503
Lithuania,2390.0,75.0,3.81,31.7,11.733275,2.1551743,7.681452,32.952183,13.630521059036255
Luxembourg,6860.0,96.0,2.5,20.8,34.266243,0.34482574,5.040323,21.621622,15.31825339794159
Latvia,2180.0,45.2,6.84,43.8,10.67468,4.724144,13.790323,45.530148,18.679823637008667
Morocco,554.0,90.7,1.62,10.9,2.4781225,0.8017273,3.266129,11.330562,4.469135105609894
Moldova,1160.0,90.0,0.767,23.7,5.5329275,0.8620682,1.5463711,24.636175,8.144385486841202
Mexico,1580.0,-10.8,3.42,12.3,7.6501193,9.551727,6.8951616,12.785863,9.220717787742615
North Macedonia,1270.0,51.8,5.53,20.3,6.08743,4.1551666,11.149194,21.10187,10.623414993286133
Malta,1780.0,98.4,1.47,9.18,8.658305,0.13793182,2.9637098,9.54262,5.325641632080078
Myanmar,378.0,-33.0,3.13,59.8,1.5909183,11.465515,6.310484,62.162163,20.3822700381279
Montenegro,1540.0,27.6,13.0,39.6,7.448482,6.241379,26.209679,41.16424,20.265945315361023
Mongolia,1850.0,-168.0,0.259,3.98,9.011171,23.103447,0.5221774,4.137214,9.193502470850945
Mozambique,447.0,-54.6,9.17,80.9,1.9387426,13.327583,18.487904,84.095634,29.46246600151062
Mauritius,1110.0,84.5,0.805,9.41,5.280881,1.3362045,1.6229839,9.781705,4.505443572998047
Malaysia,2930.0,-5.51,1.18,5.84,14.455378,9.095688,2.3790321,6.0706863,8.000195980072021
Namibia,805.0,74.4,17.8,31.3,3.7433965,2.206894,35.887096,32.536385,18.593442857265472
Niger,149.0,-5.81,0.0119,81.9,0.43654475,9.121559,0.023991937,85.13514,23.679308822844177
Nigeria,751.0,-93.0,0.274,82.5,3.4711862,16.637932,0.55241936,85.758835,26.60509304702282
Nicaragua,590.0,40.9,3.34,52.1,2.6595957,5.0948257,6.733871,54.158005,17.16157430410385
Netherlands,4330.0,19.8,3.13,10.8,21.512684,6.913788,6.310484,11.226611,11.490891695022583
Curaçao,12700.0,99.9,,2.78,63.705288,0.008621216,,2.889813,16.650930523872375
Norway,5600.0,-583.0,32.3,61.3,27.914667,58.87931,65.12097,63.721416,53.90909147262573
Nepal,426.0,16.7,5.24,74.5,1.832883,7.181038,10.564516,77.44283,24.255317479372025
New Zealand,4550.0,17.1,13.5,28.6,22.621689,7.146553,27.217743,29.72973,21.6789288520813
Oman,6070.0,-206.0,0.0,0.05,30.283905,26.37931,0.0,0.051975053,14.178797672502697
Pakistan,432.0,24.1,4.03,46.6,1.8631287,6.543106,8.125001,48.44075,16.24299645423889
Panama,1080.0,80.9,8.86,28.4,5.129653,1.646553,17.862902,29.52183,13.540234327316284
Peru,783.0,-14.9,7.18,31.6,3.6324959,9.905174,14.475807,32.848232,15.21542739868164
Philippines,470.0,45.8,2.91,29.1,2.0546842,4.672409,5.8669357,30.249481,10.710877537727356
Poland,2470.0,28.4,0.933,16.1,12.13655,6.1724167,1.8810486,16.735968,9.231495708227158
North Korea,474.0,-74.8,7.01,12.7,2.0748477,15.068962,14.133065,13.201664,11.119634747505188
Portugal,2030.0,71.7,10.7,31.2,9.918539,2.439659,21.572582,32.432434,16.590803623199463
Paraguay,848.0,-36.9,16.3,61.4,3.9601564,11.801727,32.862904,63.825367,28.1125385761261
Qatar,19900.0,-399.0,0.0,0.06,100.0,43.017242,0.0,0.062370066,35.769903124310076
Romania,1590.0,16.8,14.5,24.1,7.7005286,7.172409,29.233871,25.051975,17.289696097373962
Russia,4940.0,-83.7,8.16,3.72,24.587652,15.836205,16.451612,3.866944,15.185603320598602
Saudi Arabia,6650.0,-192.0,0.0004,0.06,33.207645,25.172417,0.0008064516,0.062370066,14.610809655117919
Sudan,405.0,-8.99,4.37,62.1,1.7270235,9.395691,8.810484,64.55302,21.121553748846054
Senegal,283.0,52.7,0.61,38.6,1.1120297,4.077591,1.2298387,40.12474,11.63604998588562
Singapore,5120.0,97.7,0.193,0.92,25.49502,0.19828033,0.38911295,0.95634097,6.759688541293144
El Salvador,655.0,49.2,6.31,23.7,2.9872563,4.379318,12.721775,24.636175,11.181131184101105
Serbia,1860.0,28.8,5.65,26.0,9.061581,6.137924,11.3911295,27.027027,13.404415369033813
South Sudan,62.4,-1060.0,0.0246,33.2,0.0,100.0,0.049596775,34.511436,33.640258309431374
Suriname,1210.0,-43.8,15.2,14.7,5.784974,12.396553,30.645163,15.280665,16.026838779449463
Slovak Republic,2940.0,58.8,28.3,17.6,14.505787,3.5517197,57.056454,18.29522,23.352294921875
Slovenia,3240.0,44.5,31.9,22.4,16.018066,4.784485,64.31452,23.284824,27.10047435760498
Sweden,4970.0,28.3,47.5,58.4,24.73888,6.1810303,95.76613,60.706863,46.848225593566895
Syria,538.0,47.8,1.35,1.08,2.3974674,4.4999924,2.7217743,1.1226612,2.6854738295078278
Togo,453.0,20.0,2.41,76.6,1.9689882,6.896553,4.8588715,79.625786,23.33754962682724
Thailand,1930.0,41.6,1.11,20.8,9.414446,5.034485,2.2379034,21.621622,9.577114045619965
Tajikistan,337.0,36.2,37.5,38.8,1.38424,5.5000076,75.60484,40.33264,30.70543310046196
Turkmenistan,4720.0,-192.0,0.0,0.06,23.478647,25.172417,0.0,0.062370066,12.178358496166766
Trinidad and Tobago,13500.0,-103.0,0.0,0.47,67.73804,17.5,0.0,0.4885655,21.431650653481483
Tunisia,920.0,36.2,0.798,12.9,4.323104,5.5000076,1.608871,13.409564,6.210386633872986
Turkey,1560.0,74.2,4.95,13.7,7.5493007,2.224144,9.979838,14.241165,8.49861204624176
Tanzania,489.0,10.7,0.724,84.0,2.1504617,7.6982803,1.4596773,87.31809,24.6566279232502
Ukraine,2330.0,27.2,22.5,8.72,11.4308195,6.2758713,45.362904,9.064449,18.03351092338562
Uruguay,1390.0,44.4,14.8,61.1,6.692342,4.793106,29.83871,63.513515,26.209418535232544
USA,6960.0,9.21,11.7,11.2,34.770336,7.826721,23.58871,11.642412,19.457045078277588
Uzbekistan,,,,1.03,,,,1.0706861,0.26767152547836304
Venezuela,,,,23.3,,,,24.220375,6.055093765258789
Vietnam,,,,19.1,,,,19.854471,4.96361780166626
Yemen,,,,3.53,,,,3.6694388,0.9173597097396851
South Africa,2690.0,-14.5,2.66,9.76,13.245554,9.870689,5.3629036,10.145531,9.656169414520264
Zambia,,,,81.8,,,,85.0312,21.25779914855957
Zimbabwe,,,,84.4,,,,87.73389,21.9334716796875
